CreditCardNumber,Amount,Class
5241998533918846,468.92,1
2413905051783048,116.36,1
2286221797997932,994.6,1
2262888824399627,910.59,0
2720897153393453,492.34,1
2318606949017880,616.2,1
2228555032099256,247.13,0
2271568882112307,250.29,0
2700557614176806,715.38,0
2227004798469560,509.82,1
5116223115438564,538.89,0
2238701501368818,431.42,1
5286598384136245,703.75,1
2223673403347918,531.83,0
2601266966031441,872.38,1
2535428741890399,392.68,0
2287444394098297,677.59,1
2298751409668378,425.35,0
2643193969081225,854.35,0
2222957289754896,326.46,1
2253697489460587,390.0,1
2463536398274315,269.71,1
2265179397166818,371.19,0
2425143088599775,376.75,1
2261993531482939,309.23,0
2247663926464672,933.29,0
5561394706583132,165.21,1
2231279891933423,588.96,0
2704391640092605,380.24,1
2580385584177025,985.73,1
5518104268655366,314.87,1
2641338828098306,546.63,1
5104459793211659,423.45,0
2272447545562811,569.47,1
5291769919272069,172.12,0
5212490129233256,29.38,1
2230137858772112,660.78,1
2705294393496107,654.73,1
2711182835929284,331.53,0
5349974010317621,944.27,1
5596438336468401,564.26,1
2265008005670210,259.04,1
5292260187737453,763.43,0
5437387411709168,856.95,1
5524370934224273,951.91,0
2268592981280083,46.01,1
2353967101888773,345.69,0
2329667259842405,269.82,0
5385210444643893,85.45,0
2225697124781608,842.65,1
5471411684273095,567.3,0
5518832454657867,761.09,1
2237848203788065,325.01,0
2270916013133174,845.27,0
5256855970406440,212.08,1
5210548703100688,556.37,0
5103488682159977,478.17,0
2717720558460344,604.05,0
5231363406502080,79.51,1
2237180323363672,146.0,0
2344868038090818,650.49,0
2258086377466101,924.25,0
2720756749920288,537.44,0
2298008278185392,495.33,1
2461008604979303,195.99,1
5517762007875461,699.25,1
5109019706928875,871.45,0
2272501072309986,945.76,0
5365623062453250,215.17,0
5325633380407648,458.87,1
2543383865695811,896.33,0
2299180344730219,934.95,0
2226821464495236,139.78,0
5215345921272513,8.74,0
5519741149441430,761.9,1
2717557013850945,961.95,0
5149024986415199,560.65,0
2285923811840391,98.19,0
2474910950290711,699.41,0
2285510509014882,385.61,0
2289752703345193,880.63,1
2236690506679232,608.67,0
2309959599734838,199.57,0
2707960654763462,816.98,0
2277886337538023,480.19,0
2267901666259604,604.6,1
5482958693963402,366.72,1
5476230327948516,436.81,1
2317287216456464,816.62,0
2256767465321520,20.96,1
2720645647936555,251.27,1
2269956869102801,600.79,1
5556919800190538,926.24,0
2449650608294861,28.79,0
5532562076485627,582.41,1
2309611660802529,780.25,1
2259494404519570,849.82,0
2223040179151165,800.0,1
2255578338537726,557.92,0
5229094914986069,315.23,0
