CreditCardNumber,Amount,Class
2268223544452478,562.08,0
2719198527073563,285.43,0
5385814198721019,94.98,1
2395645474235794,203.73,0
5245991605430788,490.4,1
2221336397974327,20.39,1
2276997446547531,18.29,1
5385497710144942,189.81,1
5461252545251652,764.95,0
5350838102615646,427.48,1
2412442505308421,489.1,0
2402335794964254,308.89,0
2223724177690353,978.28,1
2720021014676002,665.91,0
2278523888144237,318.18,0
2239277754052978,164.85,0
5412241393020418,277.13,1
2720626163039370,113.31,1
2277826370822967,696.37,1
5328284651957023,294.32,1
2228846462211853,158.8,0
2279266710877009,13.06,1
2265015834806352,944.86,0
2225152166106165,71.48,0
2251019465706432,54.07,0
2275595394566411,283.67,0
5459921855355618,601.56,1
5102457430576874,35.26,1
2719391217131995,793.51,1
2325408398861004,634.18,0
2509672182222867,444.88,0
2232773578391482,451.51,1
2710488031056462,500.9,1
2719553500308297,398.61,0
2257260452998699,729.51,1
2720306161787789,448.05,0
2242724964612385,493.77,0
2708923705600116,943.58,1
2708523438408942,692.74,1
2284338112841322,841.36,1
2714450297977464,197.16,1
5209971481697092,223.85,1
2235604722488873,739.65,1
5434910649962458,398.7,1
2286280401000111,466.79,1
2421199070487951,133.11,1
5196053119851758,50.43,1
2268981494359213,888.74,1
2715831703041533,829.94,1
2273864758562198,605.2,0
2256514097705013,186.99,1
2230909413195223,402.52,0
2233098328574123,825.28,0
2297268409758605,431.32,0
2253875289874732,754.92,0
2291884640218286,477.43,1
2272263446582380,280.58,0
2248953887567673,51.33,1
2710489449407008,370.46,0
2293947717768208,278.11,0
2514556786259537,343.01,1
2288414256235898,236.16,1
2712654831295786,704.05,0
2720952654472031,720.48,1
2224731526250671,408.98,1
2280595495614436,448.69,0
5165169075591969,896.2,0
2580715606193776,650.02,0
2709953930002522,521.3,1
2711380718794680,195.74,0
2241096456073298,680.2,1
2243629144203105,726.02,1
5134044187925744,724.9,1
2299451109921685,887.49,0
5560088752639589,579.57,1
2546341813384471,870.94,0
5139005453627160,256.42,0
5349573048364231,873.96,0
2243151111654525,24.91,1
2720361123002017,351.18,0
2720060272763946,118.19,1
2342159891871169,288.49,1
5335883745625461,490.01,1
2266774733940485,72.86,0
2449717538653076,29.65,0
2229113779737032,813.4,1
2235032730856339,398.73,0
2720952630291315,791.41,0
2226285534751764,746.05,1
5225188995250546,218.95,1
2240520225928210,961.3,0
5401704760655911,974.53,1
5265521462633524,515.3,1
5584539373158971,391.64,0
2674429486922711,33.57,0
5354836398100329,528.91,1
2245252791243015,223.31,1
2293459168630077,19.15,1
2228577794152289,323.09,0
5188554858799512,800.41,0
